post_id,class,confidence,explanation
8044,implicit_hate,0.75,"The text 'pl . watch odessa file on youtube and say sorry to' contains an abstract reference to a historical event (the Odessa massacre) which has been used in hateful contexts to incite fear and spread negative stereotypes about certain groups. The phrase 'say sorry to' implies a demand for acknowledgment or apology, which can be interpreted as a coded way of promoting prejudice or reinforcing negative attitudes towards a protected category."
1709,implicit_hate,0.75,"The phrase 'white pill' is often used in far-right and alt-right circles to denote a positive or optimistic outlook for white nationalist or supremacist ideologies. The text indirectly promotes prejudice by using coded language that appeals to racist attitudes without explicit hate language, fitting the criteria for implicit hate speech."
8898,not_hate,1.0,"The text 'more fake news' does not contain any coded language, abstract references, stereotypes, or indirect ways of promoting prejudice against any protected categories. It is a general statement about the perceived credibility of information, which does not target any specific group based on race, ethnicity, national origin, caste, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious disease."
6860,implicit_hate,0.85,"The text references Joseph Goebbels, a notorious Nazi propaganda minister, and his diaries. This indirectly promotes prejudice by referencing a figure associated with hateful ideologies and violent events targeting protected categories, such as the Holocaust. The use of the hashtag '#swrm' could also be a coded reference to a group or ideology that promotes hate, although the exact meaning is unclear without additional context."
15379,implicit_hate,0.85,"The text uses coded language and abstract references to imply that a specific group ('hindus') is suffering, while indirectly targeting individuals or groups ('kcr' and 'owasis') who are perceived to be responsible for this suffering. This can be interpreted as promoting prejudice against these individuals or groups based on their perceived membership in protected categories, such as religion or ethnicity."
4629,implicit_hate,0.7,"The text uses coded language and abstract references to promote prejudice against a specific group, 'antifa,' by labeling them as 'intolerant.' This can be seen as an attempt to dehumanize or stereotype the group, which aligns with the characteristics of implicit hate speech."
9275,implicit_hate,0.9,"The text uses coded language and stereotypes to promote prejudice against a protected category (race). The phrase 'racist black thugs' is a derogatory stereotype that dehumanizes and promotes negative attitudes towards Black individuals. The context suggests a violent and hateful act, which aligns with the definition of implicit hate speech."
1006,implicit_hate,0.85,The text uses coded language and abstract references to promote prejudice against white people. The phrase 'white privilege tax' and the context of it being supported by minorities in a 'shocking racism experiment' suggest a negative stereotype and incitement against a protected category based on race.
15126,implicit_hate,0.75,"The text uses coded language and abstract references to promote prejudicial attitudes. The phrase 'fake news' is often used to dismiss legitimate information, and the questioning of the origin of white people in the context of immigration preferences can be seen as an attempt to reinforce negative stereotypes or incite fearful stereotypes about black people. The overall tone and context suggest an underlying prejudice without using explicit hate language."
228,implicit_hate,0.75,"The text suggests a deep hostility towards Russian people, which can be interpreted as promoting prejudice against a national origin group. The use of the term 'deep hostility' and the context of the FBI's actions being framed as an attack on Russian people aligns with the definition of implicit hate speech, as it indirectly conveys prejudicial attitudes without using overt slurs or explicit hate language."
17348,not_hate,1.0,"The text is a simple expression of gratitude for participation in an event, with no coded language, abstract references, stereotypes, or indirect ways of promoting prejudice. It does not target any protected categories or convey prejudicial attitudes."
20335,implicit_hate,0.85,"The text uses the term 'hermangutierr,' which appears to be a coded or abstract reference that could be interpreted as a derogatory term or stereotype. The context suggests a sarcastic or dismissive tone, which aligns with the features of implicit hate speech."
6995,not_hate,0.95,"The text does not contain any coded language, abstract references, stereotypes, or other indirect ways of promoting prejudice. It simply suggests looking at previous surveys to understand the issues and social sentiments of Muslims in India, which is a neutral statement."
16258,not_hate,0.9,"The text discusses the concept of hate in a general sense and criticizes the perpetuation of hate without targeting any specific group or using coded language. It does not contain any abstract references, stereotypes, or indirect ways of promoting prejudice against protected categories."
17399,implicit_hate,0.7,"The text uses coded language and abstract references to imply that certain regions, specifically the 'south,' are problematic. This can be interpreted as reinforcing negative stereotypes about the 'south,' which could be a coded reference to racial or ethnic groups commonly associated with that region. The statement 'we've never had any problems' suggests an 'us vs. them' mentality, which can be seen as promoting prejudice indirectly."
1173,implicit_hate,0.85,"The text uses coded language and abstract references to convey prejudicial attitudes towards a specific group ('whites') and their perceived behavior. The phrase 'self-hating behavior and attitude from whites' can be interpreted as a stereotype or a negative generalization about a protected category based on race. The mention of 'usa / western europe' further contextualizes the statement, suggesting a broader negative sentiment towards this group in these regions."
4917,implicit_hate,0.9,The text uses coded language and stereotypes to convey prejudicial attitudes towards Black people and white women. Phrases like 'welfare fattened' and 'impregnating white women' are derogatory and reinforce negative stereotypes about Black people and interracial relationships. The text does not use explicit slurs but relies on implicit and coded language to promote prejudice.
8042,not_hate,0.9,"The text criticizes an individual (PewDiePie) for his career choices and refers to 'globalists' in a derogatory manner, but it does not target any protected categories or use coded language to promote prejudice against any group based on race, ethnicity, national origin, caste, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious disease."
