post_id,implicit_class,confidence,explanation
9275,stereotypical,0.9,"The text uses the phrase 'racist black thugs' to associate a protected class (African Americans) with negative attributes such as violence and criminal behavior. This fits the category of 'Stereotypes and Misinformation,' which involves associating a protected class with negative attributes and spreading misinformation that feeds stereotypes."
1006,white_grievance,0.9,"The text suggests a 'white privilege tax' supported by minorities, which implies frustration over perceived privileges of white people and casts them as victims of racism. This aligns with the 'White Grievance' class, where majority groups are portrayed as the real victims of racism."
20335,inferiority,0.85,"The text 'if you even pay taxes, hermangutierr' uses the term 'hermangutierr,' which is a derogatory and dehumanizing term often used to insult or belittle someone by comparing them to an animal. This falls under the category of 'Inferiority Language,' which includes dehumanization and toxification, both early warning signs of more severe forms of hate speech."
1173,white_grievance,0.9,"The text expresses frustration over perceived self-hating behavior and attitudes from whites, particularly in the USA and Western Europe. This aligns with the 'White Grievance' category, which includes frustration over a minority group's perceived privilege and casting majority groups as the real victims of racism."
4917,stereotypical,0.9,"The text uses stereotypes to portray a protected class (African Americans) in a negative light, associating them with welfare dependency, cultural appropriation, and sexual promiscuity. These stereotypes are used to demean and attack the group, fitting the category of 'Stereotypes and Misinformation'."
19708,inferiority,0.95,"The text '- islam = animals' directly compares a religious group (Muslims) to animals, which is a form of dehumanization. This falls under the 'Inferiority Language' category, as it implies that Muslims are inferior to other groups by denying their humanity."
713,white_grievance,0.9,"The text 'stop #whitegenocide protect white children' suggests a perceived victimization of white people, implying that white children are under threat. This aligns with the 'White Grievance' category, which includes frustration over a minority group's perceived privilege and casting majority groups as the real victims of racism."
20730,incitement,0.9,"The phrase 'give them a taste of the chain gun' strongly suggests a call to violence, which aligns with the 'Incitement to Violence' class. The use of 'chain gun,' a type of weapon, implies a threat of physical harm, which is a clear indicator of incitement to violence."
19105,white_grievance,0.85,"The text suggests a frustration over the perceived privilege of minority groups and implies that the constitution was written by and for white people, casting white people as the real victims. This aligns with the 'White Grievance' class, which often includes language linked to extremist behavior and support for violence."
17147,inferiority,0.9,"The text implies that the white race is superior in its ability to love itself compared to other races, which is a form of inferiority language. It suggests that other races are inferior in their capacity for self-love, thereby elevating the white race and denigrating others."
10919,white_grievance,0.9,"The text suggests that white people are being unfairly targeted and victimized by the condemnation of white nationalism, implying a sense of grievance and frustration over perceived unfair treatment. This aligns with the 'White Grievance' category, which often portrays majority groups as victims of racism."
20378,incitement,0.9,"The text suggests the use of extreme force ('nuke them off the face of the earth') against an unspecified group, which aligns with the 'Incitement to Violence' class. The hashtag '#arrogantfornoreason' implies a sense of superiority and frustration, further supporting the classification."
2811,threatening,0.9,"The text implies a commitment to harming or removing a group of people ('us-born suckers') to make room for others ('little illegal aliens'). This aligns with the 'Threatening and Intimidation' class, which involves conveying a speaker's commitment to a target's pain, injury, damage, loss, or violation of rights."
19941,inferiority,0.85,"The text implies that a certain group ('they') is desperate and is heading towards failure or ruin ('riding whatever bus they are on, right into the ground'). This language suggests that the group is inferior and incapable of success, which aligns with the 'Inferiority Language' class. The use of 'desperate' and the metaphor of riding a bus into the ground demeans the group and implies their inferiority."
12405,inferiority,0.85,"The text implies that being part white would be undesirable for the 'obnoxious chinese guy,' suggesting a sense of inferiority or undesirability associated with being white. This aligns with the 'Inferiority Language' class, which includes language that dehumanizes or toxifies a group, implying one group is inferior to another."
11117,white_grievance,0.9,"The text 'hey kids wanna replace white people' implies a sense of grievance and frustration over the perceived threat to the white population. It suggests that white people are being replaced, which aligns with the narrative of white grievance where majority groups are cast as victims."
18934,irony,0.9,"The text uses sarcasm to demean a protected class, specifically Jews. The phrase 'televizion is good for jew !' is a sarcastic remark implying that Jews are somehow benefiting from television, which is a form of irony used to attack or demean the group."
5263,irony,0.9,"The text uses sarcasm and humor to demean a protected class or individual, specifically targeting the 'alt-right' group. The phrase 'alt-right cuck' is derogatory and the mocking tone of 'staahpp  we supp' indicates irony, which is commonly used to mask hatred and extremism."
13308,incitement,0.85,"The text encourages the alt-right movement to transition from online activities to physical actions. This can be interpreted as an incitement to violence or extremist behavior, which aligns with the 'Incitement to Violence' class. The phrase 'take the alt-right from online into the physical world' suggests a call to action that could lead to real-world consequences, potentially involving violence or extremist activities."
2057,incitement,0.9,"The text uses language that flaunts ingroup unity and power, specifically referring to 'white resister' and 'white aryan woman.' This aligns with the 'Incitement to Violence' class, which includes elevating known hate groups and ideologies. The phrase 'must not perish from the earth' suggests a call to action to preserve a perceived superior group, which is a form of incitement."
5144,white_grievance,0.9,"The text suggests a conspiracy theory that there is an 'anti-white plan' to replace white people, which aligns with the 'White Grievance' category. It implies that white people are being victimized and that there is a deliberate effort to marginalize them, which is a common theme in white grievance narratives."
7193,stereotypical,0.9,"The text uses the phrase 'shucking and jiving,' which is a derogatory stereotype historically used to describe African Americans performing in a subservient or ingratiating manner for white people. This language reinforces negative stereotypes about a protected class, fitting the 'Stereotypes and Misinformation' category."
