post_id,implicit_class,confidence,explanation
9275,stereotypical,0.95,"The text attributes a heinous crime to a specific racial group (black people), reinforcing negative stereotypes. The use of the term 'thugs' is a common stereotype used to justify racial profiling and discriminatory practices. The text might be intended to create a narrative that supports the idea that certain racial groups are more prone to violence, thereby justifying discriminatory actions."
1006,white_grievance,0.85,"The text 'new ""white privilege tax"" ""for all white people supported by minorities in shocking racism experiment""' aligns closely with the characteristics of 'White Grievance.' The phrase 'white privilege tax' suggests a perceived unfair advantage for minorities, casting white people as victims. The mention of 'supported by minorities' and 'shocking racism experiment' further implies a racial divide and provokes strong reactions, which are hallmarks of white grievance. The language is designed to inflame racial tensions and promote divisiveness, which is a key aspect of this category."
20335,inferiority,0.95,"The text 'if you even pay taxes, hermangutierr.' contains elements of dehumanization and toxification, which are key indicators of inferiority language. The term 'hermangutierr' is a derogatory and dehumanizing reference, likening the person to an animal. The phrase 'if you even pay taxes' suggests that the person is unlikely to contribute to society or fulfill their civic duties, implying social irresponsibility. This combination aligns with the characteristics of inferiority language, which is related to assaults on human dignity, dominance, and declarations of superiority of the in-group."
1173,stereotypical,0.9,"The text generalizes a negative behavior ('self-hating behavior and attitude') to a specific racial group ('whites nowadays'), which perpetuates a stereotype. This generalization and the use of coded language to express frustration with a perceived trend among white people in the USA and Western Europe align with the characteristics of implicit hate speech. The text does not explicitly incite violence, use irony, or threaten anyone, but it does stereotype a group, which fits the 'Stereotypes and Misinformation' category."
4917,stereotypical,0.95,"The text perpetuates racial stereotypes by generalizing that black people enjoy themselves excessively, take advantage of welfare systems, and are responsible for negative actions such as 'impregnating white women.' The phrase 'welfare fattened' implies that black people are lazy or exploitative, reinforcing negative stereotypes. This aligns with the 'Stereotypes and Misinformation' class, which associates a protected class with negative attributes."
19708,inferiority,0.95,"The text '- islam = animals' is classified as 'inferiority' because it uses dehumanization by equating Muslims with animals. This comparison strips individuals or groups of their humanity, which is a common form of dehumanization and an early warning sign of genocide. The language implies that Muslims are inferior to others, aligning with the definition of inferiority language in the taxonomy."
713,white_grievance,0.9,"The text 'stop #whitegenocide protect white children .' uses coded language to convey a message of white grievance. The term 'white genocide' is a false narrative used by extremist groups to suggest that white people are being systematically replaced or eliminated, which aligns with the 'White Grievance' class. The call to 'protect white children' further implies a perceived threat or danger to white people, perpetuating a racist and xenophobic ideology. This language is linked to extremist behavior and support for violence, which is characteristic of the 'White Grievance' category."
20730,threatening,0.9,"The text 'give them a taste of the chain gun' uses coded language to convey intimidation or dominance without explicitly stating violence. The phrase 'give them a taste' is ambiguous and can be interpreted in various ways, while 'chain gun' is a powerful weapon, symbolizing strength and dominance. This interpretation relies on the contextual knowledge of the speaker and the audience to understand the implied meaning, which aligns with the definition of implicit hate speech. The text conveys a speaker's commitment to a target's pain, injury, damage, loss, or violation of rights, which fits the 'Threatening and Intimidation' class."
17147,inferiority,0.9,"The text 'no race can love itself as much as the white race can' implies that the white race is superior in its self-love, which indirectly suggests that other races are inferior in this regard. This aligns with the 'Inferiority Language' class, which includes language that elevates one group above others, promoting prejudice indirectly. The text does not fit well into other categories such as 'White Grievance,' 'Incitement to Violence,' 'Irony,' 'Stereotypes and Misinformation,' or 'Threatening and Intimidation.'"
10919,stereotypical,0.95,"The text generalizes that any white person advocating for their own interests is an outlaw, which is a stereotypical belief about a group of people based on their race. This generalization implies that all white people who advocate for their interests are inherently associated with white nationalism, which is a stereotype. The phrase 'think about that!' suggests a call to reflect on this generalization, reinforcing the stereotype."
20378,incitement,0.9,"The text 'don't they realize we can nuke them off the face of the earth?#arrogantfornoreason' strongly suggests an incitement to violence. The phrase 'nuke them off the face of the earth' is an extreme and violent reference, indicating a display of power and capability to inflict harm. The hashtag '#arrogantfornoreason' further supports this interpretation, as it implies a sense of superiority and arrogance. This aligns with the definition of incitement to violence, which includes flaunting ingroup unity and power, and elevating known hate groups and ideologies."
2811,inferiority,0.9,"The text uses dehumanizing language ('little illegal aliens') and suggests harmful actions ('we still got lots of us-born suckers we can smash out of line to make room'), which aligns with the characteristics of inferiority language. This language implies that undocumented immigrants and U.S.-born individuals are inferior and can be treated with disregard, which is a form of dehumanization and toxification. The overall tone is abusive and confrontational, further supporting the classification of inferiority language."
12405,stereotypical,0.9,"The text 'i hope that obnoxious chinese guy isn't part white.' uses coded language and stereotypes to convey a prejudicial attitude towards the individual based on their ethnicity. The phrase 'obnoxious chinese guy' is derogatory, and the hope that the individual is not 'part white' suggests a negative view of mixed ethnicity. This aligns with the definitions of implicit hate speech, which includes abstract references and stereotypes to promote prejudice. Therefore, the most likely class is 'stereotypical'."
11117,incitement,0.85,"The text 'hey kids wanna replace white people' can be classified as 'incitement' due to its provocative nature and the underlying implication of promoting a harmful ideology. The phrase 'replace white people' is often associated with extremist ideologies and conspiracy theories, suggesting an intent to incite controversy or debate. The informal and attention-grabbing tone of 'hey kids' combined with the provocative statement 'wanna replace white people' aligns with the characteristics of incitement to violence, as it flaunts ingroup unity and power, which is a common tactic in hate speech."
18934,stereotypical,0.9,"The text 'televizion is good for jew !' uses coded language and stereotypes to imply a generalization about Jewish people. The misspelling of 'television' as 'televizion' suggests a lack of respect or carelessness, and the exclamation mark adds an emphatic tone, which can be interpreted as mocking. The phrase 'good for jew' reinforces negative stereotypes, suggesting a derogatory intent. This aligns with the 'Stereotypes and Misinformation' class, which associates a protected class with negative attributes."
5263,irony,0.9,"The text uses derogatory language ('alt-right cuck') and ableist mocking ('staahpp we supp') to demean and belittle someone associated with the alt-right movement. This indirectly promotes prejudice and hostility through the use of sarcasm and mockery, fitting the criteria for implicit hate speech under the 'Irony' class."
13308,incitement,0.85,"The text 'hope it goes well for you guys take the alt-right from online into the physical world' suggests a call to action that could be interpreted as promoting harmful activities or supporting extremist views. The phrase 'take the alt-right from online into the physical world' implies a transition from online rhetoric to real-world action, which aligns with the definition of 'Incitement to Violence.' This interpretation is supported by the context and cultural knowledge of the alt-right's reputation for extremist ideologies and potential for violence."
2057,inferiority,0.9,"The text 'let's be a white resister : because the beauty of white aryan woman must not perish from the earth ...' uses coded language and abstract references to promote the idea of white supremacy and the preservation of white Aryan women, implying that other races are inferior. The phrase 'let's be a white resister' and the emphasis on 'white aryan woman' are clear indicators of white supremacist ideology, which is a form of implicit hate speech. This aligns with the 'Inferiority Language' class, which implies one group or individual is inferior to another and includes declarations of superiority of the in-group."
5144,white_grievance,0.95,"The text suggests a coordinated effort to 'replace' white people, which aligns with the 'White Grievance' category. It promotes fear and resentment among white people by implying they are victims of a conspiracy, which is a common theme in white grievance narratives. The language used is coded and abstract, fitting the definition of implicit hate speech without using explicit slurs or hate language."
7193,stereotypical,0.9,"The text uses the historically derogatory term 'shucking and jiving,' which has been used to describe African Americans acting in a subservient manner to please white people. The phrase 'paying off' suggests that this behavior is beneficial, which can be interpreted as mocking and demeaning. This aligns with the definition of implicit hate speech, as it uses coded language and stereotypes to convey prejudicial attitudes. Therefore, it fits best under the 'Stereotypes and Misinformation' category."
15884,white_grievance,0.9,"The text 'americans are white . it was founded  created  and ran by whites until boomer hippies got white guilt' implies that only white people are true Americans and blames a specific group (boomer hippies) for perceived negative changes. This aligns with the 'White Grievance' class, which includes frustration over a minority group's perceived privilege and casting majority groups as the real victims of racism. The language used suggests that non-white individuals are not considered part of the American identity, which is a form of white grievance."
