post_id,target,implied_statement
9275,Black people,Black people are violent
1006,White people,White people have unearned advantages
20335,Latino/Latina folks,Latino/Latina folks do not contribute to society
1173,Whites,Whites are self-hating
4917,Black people,"Black people are lazy, exploitative, and irresponsible"
19708,Muslims,Muslims are animals
713,non-white people,non-white people are a threat to white people and their children
20730,Muslims,Muslims are dangerous and need to be controlled.
17147,non-white races,non-white races are less capable of self-love
10919,White people,White people who advocate for their interests are associated with white nationalism
20378,Marginalized or oppressed group,[GROUP] are ignorant and inferior.
2811,Undocumented immigrants and U.S.-born individuals,Undocumented immigrants are unwanted and U.S.-born individuals are disposable
12405,Chinese people,Chinese people are obnoxious and Mixed ethnicity is undesirable
11117,white people,Non-white people want to displace white people
18934,Jews,Jews are materialistic
5263,Alt-right supporters,Alt-right supporters are unintelligent
13308,alt-right,alt-right are dangerous
2057,Non-white individuals,Non-white individuals are a threat
5144,white people,non-white groups are actively working to replace white people
7193,Black folks,Black folks act subserviently to please white people
15884,Non-white individuals,Non-white individuals are not true Americans and are responsible for negative changes
19772,Left-leaning political groups,Left-leaning political groups are dishonest and violent
3876,Conservatives,Conservatives are easily manipulated through fear
13720,Non-white folks,Non-white folks commit murders
21073,Asian folks,Asian folks eat a lot
19484,Muslims,Muslims are inherently flawed and incapable of change
1866,Muslims,Muslims are violent
20401,Immigrants,Immigrants are hostile and unwanted
20517,Immigrants,Immigrants are a financial burden
5711,Immigrants from developing countries,Immigrants from developing countries bring problems to the host country
21379,gay men,gay men are effeminate
5923,Black individuals,Black individuals are more likely to be accused of hate crimes unless they have white friends
7400,Immigrants,Immigrants replace white people
18564,Muslims,Muslims commit violent acts
1150,Black folks,Black folks are inherently violent and racist
17214,Black folks,Black folks are violent
10297,antifa,antifa are gullible
9303,white people,white people are white supremacists
13424,Muslims,Muslims are dangerous
11423,Non-white populations,Non-white populations are a threat to white people
19757,BLM protestors,BLM protestors are childish
5683,"White people, specifically white liberals, and possibly Jews","White liberals are hypocritical and part of the problem, and institutions like professors and media are complicit. Jews may also be complicit."
21157,Black folks,Black folks lack rights
20259,Undocumented Immigrants,"Undocumented Immigrants are undeserving, criminals, and a threat."
12763,Non-white people,Non-white people are not part of the country's founding principles
19572,LGBTQ+ community,LGBTQ+ community prioritize sexual activities over national interests and are morally degenerate
16377,White people,Democrats manipulate white people for political gain
19185,Immigrants from developing countries,Immigrants from developing countries have inferior and harmful habits
18467,non-white populations,non-white populations are incapable of upholding western values
67,non-white people,non-white people are not intelligent
19711,Muslims,Muslims commit stoning
2179,Immigrants,Immigrants should leave if they entered illegally
21372,Lesbians,Lesbians are not at risk for STDs and their sexual practices are unknown.
20871,Black folks/Latino/Latina folks,Black folks/Latino/Latina folks are violent and cause riots
16829,Immigrants,Immigrants are unwelcome intruders
9387,marginalized groups,marginalized groups are not as oppressed
544,Jews,Jews cause harm
5300,Non-white folks,Non-white folks are a threat
4143,white people,white people are bigots and their deaths are not valued
12187,White folks,White folks are being led to their death
6469,Muslims,Muslims are intolerant
15279,"Black folks, Latino/Latina folks, Immigrants",[GROUP] exploit racial issues
17353,White people,White people are deserving of prejudice
18265,Muslims,Muslims are inherently violent
2735,Non-white folks,Non-white folks are inherently inferior
20921,Immigrants,Immigrants are a threat to society
21075,Jews,Jews are overly interested in money
5797,non-white immigrants,non-white immigrants are harmful
12152,Supporters of an ethnostate,Supporters of an ethnostate are ridiculous
20478,Immigrants,Immigrants are not valued and should be sent back to where they came from.
20088,Immigrants,Immigrants are criminals
4159,non-white individuals,non-white individuals are a source of conflict or unfriendliness
13646,Muslims,Muslims are violent and intolerant
7789,Muslims,Muslims are untrustworthy
18844,Jews,Jews have excessive influence in global affairs
9742,Jews,Jews are associated with harmful ideologies
10803,Non-white people,Non-white people are targets of violence
5630,White elitists,White elitists promote white supremacy
18359,Non-white people,Non-white people are a threat to white people
10771,Non-white individuals,Non-white individuals are inferior
20759,Immigrants,Immigrants are a problem that needs to be eliminated
12182,African Americans,African Americans are inferior or a threat to the ideology of Southern nationalism.
4644,Liberals and racial minorities who align with liberal ideologies,"Liberals are controlling or manipulative, and racial minorities who align with liberal ideologies are disloyal to their racial group."
2954,Boomers,Boomers are failures and lack credibility.
21322,Feminists,Feminists are overreacting
15645,LGBTQ+ community,LGBTQ+ community should be content with lesser treatment
21175,People with disabilities,People with disabilities are like machines
20109,Immigrants,Immigrants are a burden on the economy and are unwanted
2896,bronies,bronies are part of the new right and are gay
7129,social justice advocates,social justice advocates are overreacting or promoting baseless concerns
21436,Native Americans,Native Americans are violent
14133,Non-white people,Non-white people are persecuting white people
7590,Muslims,Muslims are hateful
14681,non-white people,non-white people are less capable or less significant
4494,Non-white people,Non-white people are not part of the founding of America
17935,Non-white folks,Non-white folks engage in identity politics in a way that is detrimental to whites
19713,LGBT community,Supporters of the LGBT community are unintelligent
16522,Non-white people,Non-white people are a threat to white people
3647,Black folks and White folks,Black folks and White folks are inferior or irrelevant
20635,undocumented immigrants,Undocumented immigrants cause economic hardships
18160,Black individuals,Black individuals are violent and mentally unstable
20218,Muslims,Muslims are dangerous
19548,Low-income minorities,Low-income minorities are dangerous and predatory
10658,Black folks,Black folks diminish the relevance of white Americans
12126,Non-white and non-Christian Americans,Non-white and non-Christian Americans are a threat to the survival of the Republican Party
19925,Immigrants,Immigrants are unwanted and should be excluded
14729,non-white people,non-white people are a threat or inferior
1909,Journalists at CNN and MSNBC,Journalists at CNN and MSNBC are deceitful extremists
2752,"non-white, non-Christian individuals","non-white, non-Christian individuals are inferior"
19994,Gay men,Gay men are not welcome and should leave the country
7230,conservatives,Conservatives are obstacles to progress and enlightenment.
