post_id,implicit_class,confidence,explanation
9275,stereotypical,0.9,"The post perpetuates negative stereotypes about black individuals by portraying them as ""thugs"" who commit violent acts against whites. This aligns with the ""stereotypical"" class, as it associates a protected class with negative attributes and implied criminal behavior. The confidence level is high at 0.9 because the post explicitly uses derogatory language and stereotypes to describe the incident."
1006,white_grievance,0.85,"The post discusses a ""white privilege tax"" supported by minorities, which frames whites as victims of a racist policy. This narrative aligns with the ""white grievance"" category, as it portrays the majority group as being unfairly targeted or victimized based on their race. The confidence level is 0.85 because the post clearly suggests a sense of white victimhood, but there is some room for interpretation based on the broader context."
20335,inferiority,0.75,"The post uses the derogatory term ""hermangutierr"" to question whether the targeted individual pays taxes, implying that they are less contributory or less valuable members of society. This aligns with the ""inferiority"" class, as it suggests that the targeted individual is inferior to others. The confidence level is 0.75 due to the somewhat ambiguous nature of the post, but the derogatory language and implication of lesser value fit the criteria for inferiority."
1173,white_grievance,0.9,"The post expresses frustration and resentment towards perceived self-hatred among whites, particularly in the USA and Western Europe. This aligns with the ""white grievance"" category, which includes sentiments of victimhood and frustration over perceived privileges of minority groups and the notion that majority groups are the real victims of racism. The high confidence level reflects the clear expression of white grievance in the post."
4917,stereotypical,0.9,"The post perpetuates negative stereotypes about black people, portraying them as taking advantage of welfare systems, selling their culture, and impregnating white women. This aligns with the ""stereotypical"" class, as it associates a protected class with negative attributes and behaviors. The high confidence level reflects the clear and direct use of stereotypes in the post."
19708,inferiority,0.95,"The post explicitly dehumanizes Muslims by equating Islam with animals. This clear use of dehumanizing language fits the ""inferiority"" class, which includes language that implies one group is inferior to another, often through dehumanization or toxification. The high confidence level reflects the explicit and derogatory nature of the comparison made in the post."
713,white_grievance,0.9,"The post uses the hashtag #whitegenocide and expresses a need to protect white children, which are clear indicators of white grievance. The language suggests a sense of white victimhood and the need for protective measures, aligning with the characteristics of the white grievance category. The confidence level is high at 0.9, as the post explicitly references themes of white victimhood and concern for the well-being of white children."
20730,threatening,0.95,"The post explicitly advocates for the use of violence with the phrase ""give them a taste of the chain gun."" This direct call for violence is a clear threat to the safety and rights of the targeted individuals, fitting the ""threatening"" class of implicit hate speech. The high confidence level reflects the clear and direct nature of the threatening language used."
19105,white_grievance,0.8,"The post suggests that the U.S. Constitution was written by and for white people, implying a sense of white ownership and grievance. This fits the ""white grievance"" category, as it expresses frustration and a sense of victimhood related to the perceived privileges of other groups. The confidence level is 0.8 because while the post does imply white grievance, there could be other interpretations without additional context."
17147,incitement,0.85,"The post asserts the superiority of the white race in their ability to love themselves, which can be seen as a form of incitement. This statement elevates the white race above others, implying a sense of pride and unity that could be interpreted as flaunting ingroup unity and power. The confidence level is 0.85 as the message strongly suggests incitement, but there could be some overlap with white grievance or other interpretations."
10919,white_grievance,0.85,"The post expresses frustration and a sense of victimhood among whites, suggesting that whites are unfairly targeted and condemned for standing up for their own interests. This narrative aligns with the ""white grievance"" category, which includes sentiments of white victimhood and the perception that majority groups are under threat. The confidence level is 0.85 as the post clearly conveys a sense of grievance and unfair treatment towards whites."
20378,threatening,0.95,"The post suggests the use of nuclear weapons to eliminate an unspecified group, conveying a clear threat of extreme violence and harm. The language ""nuke them off the face of the earth"" is a direct and severe threat, fitting the ""threatening"" class. The high confidence level reflects the explicit and grave nature of the threat."
2811,inferiority,0.85,"The post refers to individuals as ""little illegal aliens"" and suggests that they can be prioritized over ""US-born suckers,"" implying a hierarchy of worth based on national origin or immigration status. This dehumanizing language fits the ""inferiority"" class, as it suggests that certain groups are less valuable or deserving of rights than others. The confidence level is 0.85 due to the clear implication of inferiority, though there could be some overlap with other classes such as ""threatening."""
19941,other,0.7,"The post does not clearly fit into any of the defined categories of implicit hate speech. It does not express white grievance, use irony, perpetuate stereotypes, incite violence, convey inferiority, or make a threatening statement. Instead, it seems to comment on the desperation and failure of an unspecified group. The confidence level is lower at 0.7 due to the ambiguity of the target and the intent behind the message."
