post_id,implicit_class,confidence,explanation
9275,inferiority,0.9,"The text uses dehumanizing and toxifying language to describe black people, which are key indicators of 'Inferiority Language.' The phrase 'racist black thugs shoot white baby in the face for the fun of it' clearly dehumanizes and toxifies the target group, making this the most probable classification."
1006,white_grievance,0.9,"The text highlights a perceived unfair advantage for white people, which is a clear indicator of 'White Grievance.' The use of irony is secondary to the main message of grievance."
20335,inferiority,0.9,"The text uses the derogatory term 'hermangutierr,' which is a dehumanizing term combining 'hermano' and 'monkey.' This strongly suggests Inferiority Language, which includes dehumanization as a key indicator. The phrase 'if you even pay taxes' could be seen as a stereotype, but the primary intent of the text is to dehumanize the target group."
1173,white_grievance,0.95,"The text expresses frustration over perceived self-hatred among whites, which is a common theme in 'White Grievance.' It does not fit into other categories like incitement to violence, inferiority language, irony, stereotypes, or threatening and intimidation."
4917,stereotypical,0.85,"The text uses stereotypes to portray a protected class (African Americans) in a negative light, associating them with welfare dependency, cultural appropriation, and sexual exploitation. This aligns with the 'Stereotypes and Misinformation' class, which includes associating a protected class with negative attributes. The language and intent suggest a derogatory and stereotypical portrayal, making this the most likely classification."
19708,inferiority,0.95,"The text '- islam = animals' directly dehumanizes a religious group by comparing them to animals, which is a clear indicator of 'Inferiority Language.'"
713,white_grievance,0.95,"The text uses the hashtag '#whitegenocide' and calls for the protection of white children, which aligns with the narrative of white victimhood and grievance. This fits the 'White Grievance' category, where the majority group is portrayed as the real victims of racism."
20730,incitement,0.9,"The text 'give them a taste if the chain gun' contains a clear reference to a weapon and an aggressive tone, suggesting an intent to incite violence. While the target is unspecified, the violent intent is evident, making 'Incitement to Violence' the most likely class."
19105,white_grievance,0.9,"The text uses sarcasm to highlight perceived racial privilege, which fits the 'White Grievance' category. The mention of 'white people' and 'conservatives' further supports this classification."
17147,white_grievance,0.9,"The text 'no race can love itself as much as the white race can' elevates the white race and suggests a unique and superior quality, which fits well with the category of White Grievance. It does not directly dehumanize or toxify other races, making it less likely to be Inferiority Language."
10919,white_grievance,0.95,"The text suggests that white people are being unfairly targeted and victimized by the US Congress for standing up for their own interests. This aligns with the 'White Grievance' category, which includes frustration over perceived privileges of minority groups and casting majority groups as the real victims of racism. The language used implies that white people are being unjustly labeled as outlaws for advocating for their own interests, which is a common theme in white grievance narratives."
20378,white_grievance,0.85,"The text expresses frustration and a sense of superiority, with the mention of violence as a means of asserting dominance, which aligns with 'White Grievance.'"
2811,threatening,0.9,"The text uses threatening language to imply the removal of opportunities from US-born individuals, which aligns with the 'Threatening and Intimidation' class. The dehumanizing term 'illegal aliens' is a secondary aspect, and the irony is not the primary intent of the text."
19941,inferiority,0.85,"The text uses dehumanizing language and metaphors to imply that a group is inferior and doomed to fail, which fits the 'Inferiority Language' class."
12405,white_grievance,0.9,"The text expresses frustration over the perceived privilege of being white, which is a common theme in white grievance. The hope that the 'obnoxious chinese guy' isn't part white suggests a preference for whiteness, aligning with the characteristics of white grievance."
11117,white_grievance,0.9,"The text 'hey kids wanna replace white people' uses irony to convey a message of white grievance. The phrase 'replace white people' is a direct reference to the idea that white people are being marginalized or replaced, which is a common theme in white grievance narratives. The use of 'hey kids' adds a sarcastic tone, but the underlying message is rooted in white grievance."
18934,irony,0.77,"The text uses sarcasm to demean Jewish people, fitting the category of 'Irony.'"
5263,irony,0.95,"The text uses derogatory terms and a mocking tone, which are clear indicators of sarcasm used to demean a group or individual. This fits the 'Irony' category in the taxonomy."
13308,incitement,0.9,"The text encourages the alt-right movement to move from online activities to real-world actions, which, given the known extremist views of the alt-right, can be interpreted as inciting violence."
2057,white_grievance,0.9,"The text mentions 'white resister' and emphasizes preserving the 'beauty of white aryan woman,' which implies a sense of grievance and a call to resist, aligning with the 'White Grievance' category."
5144,white_grievance,0.9,"The text expresses frustration over a perceived anti-white plan, aligning with the concept of 'White Grievance,' where majority groups are cast as victims of racism."
7193,inferiority,0.9,"The text uses the derogatory term 'shucking and jiving,' which historically demeans African Americans by implying subservience. This fits the 'Inferiority Language' category as it implies one group is inferior to another and includes dehumanization."
15884,white_grievance,0.95,The text expresses frustration over the perceived loss of white influence in America and casts whites as victims of changes brought about by 'boomer hippies' with 'white guilt.' This fits the definition of 'White Grievance' as it includes frustration over a minority group's perceived privilege and casting majority groups as the real victims of racism.
19772,incitement,0.9,"The text contains a direct call to action against a perceived enemy group, using derogatory language. This fits the 'Incitement to Violence' category, which includes flaunting ingroup unity and power or elevating known hate groups and ideologies."
13720,stereotypical,0.9,"The text associates non-white counties with murders, which is a negative stereotype. While the hashtag '#swrm' might hint at white grievance, the primary focus of the text is on perpetuating a stereotype related to crime and non-white individuals."
21073,inferiority,0.95,"The text dehumanizes and toxifies Asian people by comparing them to animals and objects, which is a clear indicator of 'Inferiority Language.' The use of irony is secondary to this primary intent."
19484,inferiority,0.95,"The text uses animal metaphors to describe a group of people, which is a form of dehumanization. This aligns with the Inferiority Language category, which implies one group or individual is inferior to another through dehumanization and toxification."
1866,stereotypical,0.78,"The text uses the term 'jihadi' to describe an individual, which is a common stereotype used to associate Muslims with terrorism. This fits the category of 'Stereotypes and Misinformation.'"
20401,inferiority,0.9,"The text uses the term 'invaders' to describe immigrants, which is a dehumanizing term. This dehumanization is a key aspect of 'Inferiority Language.' The policy suggestions, while potentially threatening, are secondary to the dehumanizing language used."
20517,threatening,0.9,"The text 'send them all home with no pay. that will help pay for the wall.' implies a negative action against a group, likely immigrants, and suggests removing their opportunities and rights. This fits well with the 'Threatening and Intimidation' class as it conveys a speaker's commitment to a target's pain, injury, damage, loss, or violation of rights."
5711,inferiority,0.95,"The text implies that people from the 'third world' are inherently less intelligent and that their environments are inferior, which fits the category of 'Inferiority Language.' The phrase 'invite the 3rd world become the 3rd world' suggests that allowing immigration from the 'third world' will degrade the quality of life, further implying that these people are inferior."
21379,stereotypical,0.9,"The text associates gay men with a negative stereotype (sissies), which falls under the category of 'Stereotypes and Misinformation'. While there is an element of irony and a hint of inferiority language, the primary intent is to reinforce a negative stereotype."
5923,irony,0.8,"The text uses irony to convey a stereotype that black people are more likely to commit hate crimes unless they have white friends. The primary intent is to use irony to demean the protected class, with the stereotype as a secondary message."
7400,white_grievance,0.95,"The text expresses frustration over the perceived lack of privilege for the white race and implies that they are being replaced, which aligns with the definition of 'White Grievance.' The language is linked to extremist behavior and support for violence, casting the majority group as victims."
18564,stereotypical,0.9,"The text mentions 'muslim bombs arizona social security office with ied' which spreads a negative stereotype about Muslims being associated with violence and terrorism. The phrase 'media blackout ensues' suggests a conspiracy theory or cover-up, reinforcing misinformation. The hashtag '#tcot' indicates a political leaning but does not change the primary focus on spreading stereotypes and misinformation."
1150,white_grievance,0.9,"The text focuses on the victimization of a white person by black perpetrators, using language that suggests a narrative of white grievance. The exclamation mark and the call to 'read more' indicate an attempt to provoke anger and a sense of injustice among white readers, which is characteristic of 'White Grievance.'"
17214,incitement,0.9,"The text describes a violent incident involving white students being attacked and uses the term 'race war,' which suggests an attempt to incite further violence or retaliation. This aligns with the 'Incitement to Violence' class."
9303,irony,0.85,"The text uses sarcasm and irony to attack the idea that all white people are white supremacists. The use of hashtags like #antiwhite and #antifa, along with the sarcastic tone, indicates that the primary intent is to mock and demean this perception, fitting well with the 'Irony' class."
13424,white_grievance,0.9,"The text implies that Muslims are responsible for the harm done to white people, framing white people as victims. This aligns with the White Grievance category, which includes frustration over a minority group's perceived privilege and casting majority groups as the real victims of racism."
11423,white_grievance,0.95,"The text mentions 'the death of white civilisation' and uses the hashtags '#swrm' and '#whitegenocide,' which suggest a narrative of victimhood and grievance. This aligns with the 'White Grievance' category, where the majority group feels victimized by minority groups."
19757,irony,0.85,"The text uses sarcasm to belittle BLM protestors, comparing them to 'babies bitching.' This fits well with the category of 'Irony,' where sarcasm and humor are used to attack or demean a protected class."
5683,white_grievance,0.95,"The text expresses frustration over a perceived anti-white sentiment from the left and white liberals, casting majority groups as victims of racism. This aligns with the definition of 'White Grievance,' where the majority group feels victimized by perceived privileges of minority groups."
