post_id,target,implied_statement
1006,white people,white people have privilege
1173,whites,whites exhibit self-hating behavior and attitudes
4917,Black folks,"Black folks are enjoying themselves at the expense of others, dependent on welfare, exploiting their culture for financial gain, and engaging in interracial relationships with negative connotations."
19708,Muslims,Muslims are animals
713,non-white immigrants and minorities,non-white immigrants and minorities are a danger to white children
20730,Unspecified enemy or threat group,[GROUP] deserve violence
19105,Conservatives,Conservatives are in denial.
17147,Non-white races,Non-white races are less capable of self-love
10919,White people,White people are outlaws if they stand for their own interests
20378,Foreign nation or a group of nations,[GROUP] are arrogant
2811,Immigrants,Immigrants take opportunities away from US-born individuals.
19941,Immigrants,Immigrants are irresponsible and destructive.
12405,Chinese people,Chinese people are obnoxious
11117,White people,White people are being targeted for removal
18934,Jews,Jews are easily entertained by superficial things
5263,alt-right,alt-right are weak
13308,immigrants,alt-right take actions against immigrants
2057,non-white people,non-white people are a threat
5144,Whites,Non-whites are taking over
7193,Black folks,Black folks perform demeaning acts to gain favor from white people
15884,boomer hippies,boomer hippies have white guilt
19772,Communists/Socialists,Communists/Socialists are liars and goons
3876,conservatives or right-wing individuals,conservatives or right-wing individuals are weak willed and can be easily manipulated into disavowal due to moral cowardice
13720,non-white individuals,non-white individuals are more likely to be involved in murders
19484,Immigrants,Immigrants are unclean and incapable of change
1866,Muslims,Muslims engage in violent conflict.
20517,Immigrants,Immigrants take resources
5711,Immigrants and people of color,Immigrants and people of color are unintelligent and create bad environments for their children
5923,Black folks,Black folks are likely to commit hate crimes
7400,non-white individuals or immigrants,non-white individuals or immigrants are actively seeking to replace the white race
18564,Muslims,Muslims commit bombings
1150,Black folks,Black folks are violent and commit crimes without remorse
17214,non-white people,non-white people are violent or aggressive towards white people
10297,Antifa,Antifa are easily deceived
9303,white people,white people are white supremacists
13424,Muslims,Muslims kill white people
11423,Non-white people,Non-white people are responsible for the decline of white society
19757,Black folks,Black folks are immature or overly sensitive
5683,White liberals,White liberals are the worst
20259,Undocumented Immigrants,Undocumented immigrants are dangerous.
12763,non-white individuals,non-white individuals are not part of the country's intended population
19572,LGBTQ+ community,LGBTQ+ community are morally corrupt and disloyal.
16377,White folks,White folks are losing power.
19185,Immigrants from developing countries,Immigrants from developing countries bring undesirable habits that degrade the quality of life
18467,Non-white individuals,Non-white individuals are incapable of maintaining western freedom
67,White people,White people are smart
