target,target_pred,count
immigrants,african migrants,1
immigrants,african refugees,1
immigrants,black people,3
immigrants,black people and jews,1
immigrants,chinese people,1
immigrants,christians,1
immigrants,enemy nations or perceived threats,1
immigrants,illegal aliens,1
immigrants,illegal immigrants,23
immigrants,illegals,2
immigrants,immigrants,123
immigrants,immigrants or minorities,1
immigrants,immigrants or refugees from underdeveloped countries,2
immigrants,"immigrants, foreigners, minorities",1
immigrants,indians,1
immigrants,indigenous people,2
immigrants,jews,1
immigrants,"jews, muslims, or other marginalized communities",2
immigrants,left-wing individuals or communists,1
immigrants,lgbtq+ individuals,1
immigrants,liberals,3
immigrants,mexicans,4
immigrants,minorities,10
immigrants,muslims,7
immigrants,native americans,1
immigrants,non-indian migrants,2
immigrants,non-white people,3
immigrants,peshmerga women's battalion,1
immigrants,political opponents or a specific ideological group,1
immigrants,poor people,1
immigrants,protesters,2
immigrants,refugees,1
immigrants,religious or cultural group,1
immigrants,third world people,1
immigrants,unspecified,7
immigrants,unspecified enemy or threat,1
immigrants,white people,1
jews,jewish people,1
jews,jews,128
jews,"jews, blacks",2
jews,"jews, non-white people",2
jews,"jews, white people",2
jews,muslims,3
jews,palestinians,1
jews,white americans,1
jews,white people,4
muslims,asians,1
muslims,hispanic,1
muslims,immigrants,1
muslims,immigrants or minorities,1
muslims,jews,1
muslims,muslim women,1
muslims,muslims,154
muslims,muslims from gulf countries,1
muslims,"muslims, black people",1
muslims,"muslims, latinos",1
muslims,refugees,1
muslims,white people,2
non-white people,jews,3
non-white people,minorities,7
non-white people,"minorities, immigrants",1
non-white people,non-europeans,1
non-white people,non-white people,35
non-white people,non-whites,4
non-white people,white americans,1
non-white people,white males,1
non-white people,white men,1
non-white people,white nationalists,1
non-white people,white people,13
white people,black and brown people,1
white people,black people,16
white people,"catholics, jews",1
white people,conservatives,1
white people,illegal immigrants,1
white people,immigrants,5
white people,jews,4
white people,journalists,1
white people,lgbtq+ people,3
white people,minorities,5
white people,muslims,2
white people,native americans,1
white people,non-aryans,1
white people,non-scandinavian or non-irish white people,1
white people,non-white immigrants,1
white people,non-white people,77
white people,non-whites,17
white people,white,2
white people,white americans,1
white people,white males,1
white people,white people,66
white people,white supremacists,1
white people,white working class,2
